label,start_time,end_time
Fun sliding down,0.01,123.42336739937599
Beer pong,61.420442338881465,64.56014561469672
Swinging at the playground,127.33201508846798,201.39247572684465
Getting a piercing,30.096653368174724,56.67415180499219
Dodgeball,5.464839815912637,86.71837918408735
Ballet,12.82082075,108.5218213728549
Shoveling snow,0.01,83.05780045351474
Playing harmonica,2.863770670826833,20.046394695787832
Hurling,28.704790951638067,44.9876255850234
Kneeling,8.205021060842434,80.18757956318254
Kneeling,109.55610062402496,144.39522854914196
Tumbling,6.459276987519502,124.18480917940718
Sharpening knives,95.18451452343808,177.49645660656358
Playing water polo,2.1143354134165366,135.4287472698908
Swinging at the playground,4.366113884555382,69.65332605304212
Washing dishes,1.4982488387970894,84.65105939203553
Washing dishes,106.93750979251169,117.79981376443057
Polishing forniture,26.214528861154445,40.54198907956318
Blowing leaves,5.274515916380655,34.78936029953198
Scuba diving,66.15323674076616,152.14434841612578
Playing congas,5.273658346333853,218.7004399375975
Making a lemonade,52.46359126365054,143.36585335413415
Arm wrestling,49.77651950078003,96.981
BMX,6.337222664586584,12.098334177847114
BMX,21.17208481123245,24.412710037441496
BMX,29.23764092979719,38.095349881435254
Playing kickball,0.28354788135725434,9.759535142199688
Removing ice from car,0.01,49.15295385862808
Playing racquetball,1.3425832542901717,9.294807145085802
Playing racquetball,18.383063020280808,34.49406207176287
Playing racquetball,39.554568184087366,55.76884287051482
Playing congas,0.01,110.91567327613106
Swimming,9.937507020280812,33.97986271450858
Swimming,38.94861622464899,64.92699687987519
Swimming,70.85859906396256,101.79911856474259
Paintball,31.094469578783155,169.25807332293292
Playing bagpipes,0.0,100.041
Painting,30.768311232449296,157.386875975039
Making a lemonade,8.523823970358814,15.532301457098283
Making a lemonade,33.337622639625586,36.49459448049922
Assembling bicycle,15.492493287486601,168.67995027964383
Riding bumper cars,60.13928406932196,190.71693449506688
Starting a campfire,63.38938945312915,148.095003
Playing violin,10.39562183,59.04174628
Shoveling snow,3.3613190327613105,92.80163416536661
Shoveling snow,101.57029251170046,105.077755850234
Shoveling snow,113.26183697347894,119.10760920436817
Shoveling snow,129.92228783151327,174.35015678627144
Surfing,37.239377535101404,58.255659906396254
Surfing,67.84203432137286,150.80104368174727
Surfing,161.12483151326052,185.09076755070205
Surfing,191.72748829953198,206.84446333853356
Making a sandwich,10.184159699999999,111.5951019
Playing congas,0.19999999999999998,166.09233560090703
Welding,0.2,15.382024774143304
Making a lemonade,62.882906845525525,181.5870021528861
Surfing,3.423820584947818,5.604253606754671
Cumbia,12.764816878389421,134.88156501498156
Hopscotch,0.0,29.208238689547578
Gargling mouthwash,10.983291731669267,34.432619578783154
Baking cookies,7.35785023400936,30.769191887675508
Baking cookies,100.66876911076443,113.71223088923557
Baking cookies,139.79915444617782,148.4947956318253
Baking cookies,191.6385538221529,213.71210452418097
Braiding hair,0.01,185.65658993426882
Roof shingle removal,0.01,152.00033074885772
Capoeira,30.84877837562482,117.53129481903277
Slacklining,33.55073344158256,165.94986433470945
Playing violin,0.01,17.699038820592822
Playing violin,35.50733096723868,60.63559595943837
Plastering,0.01,8.413348081557242
Changing car wheel,0.01,203.8247619047619
Chopping wood,1.6752152886115446,80.66805928237129
Removing curlers,109.72865990639626,182.41066614664587
Horseback riding,15.51303042121685,123.80006630265211
Playing congas,19.472853354134166,189.46566926677065
Smoking hookah,3.3768127925117004,14.511168486739468
Smoking hookah,47.731705148205926,88.0709282371295
Doing a powerbomb,10.013958631814662,192.08593267862713
Playing ten pins,25.40789859594384,49.33572542901717
Playing ten pins,68.32997971918877,79.43051794071762
Playing ten pins,83.13069734789391,88.31094851794073
Playing ten pins,98.43722152886114,110.77271294851793
Playing ten pins,142.3515709828393,157.89429017160685
Walking the dog,0.01,19.275604396255847
Preparing salad,21.39858285487882,181.43587089547583
Rafting,16.348352574102964,154.40110764430577
Hurling,1.9956105291830721,21.38154138410434
Hurling,58.01524895553645,82.53274927769111
Hurling,84.8134470124805,91.170453
Removing curlers,22.694118439937597,102.79100705148205
Getting a haircut,29.183462065013213,94.03559879251169
Playing beach volleyball,29.923556162246488,60.14734867394696
Playing beach volleyball,69.75491185647425,78.16152964118564
Playing beach volleyball,97.77697113884554,112.40599297971919
Making a cake,53.911263650546026,98.69908268330732
Clean and jerk,2.174854914196568,16.311411856474262
Trimming branches or hedges,27.354733064175083,42.308656848307706
Trimming branches or hedges,84.25258941355776,101.03016243965777
Trimming branches or hedges,145.52720394366216,148.44504273081
Drum corps,53.73328981852345,82.67725137850468
Windsurfing,0.0,197.787074
Plataform diving,6.636234789391575,20.0215015600624
Kite flying,20.307498558445744,26.196673140395006
Kite flying,38.17809706708268,45.48879650546022
Using parallel bars,4.13373135725429,34.00933525741029
